id;service_name;status;version;uptime;cpu_usage;memory_usage;error_rate;last_check
1;past integer;UNHEALTHY;as;30299;22926.78;29061.41;29693.27;2025-12-20T10:00:00
2;gee vacantly narrate;DEGRADED;shadowy unnaturally carboxyl;28065;15189.71;29251.92;15016.54;2025-12-20T15:08:07
3;worthwhile;DEGRADED;gee scramble brandish;30229;22278.56;5108.85;20406.9;2025-12-20T03:34:28
4;deficient wide-eyed furthermore;UNHEALTHY;huzzah bar;28501;27398.72;9717.25;25243.69;2025-12-20T12:15:25
5;ah border boo;HEALTHY;even after;19807;1264.63;21245.69;827.53;2025-12-20T04:47:07
6;aw wisecrack instead;UNKNOWN;regarding;6285;30783.91;11524.47;22701.06;2025-12-19T16:50:52
7;concerning aircraft;HEALTHY;scoff;22834;22224.69;3565.67;3276.86;2025-12-20T05:57:40
8;abacus rag;UNHEALTHY;and slip;29941;3403.15;26620.41;12116.25;2025-12-20T15:16:57
9;afore gee;HEALTHY;until anti;13526;19227.46;29307.63;1093.05;2025-12-20T11:19:43
10;whale gosh;UNKNOWN;colligate best-seller lest;31880;4700.96;22880.07;6189.43;2025-12-20T07:20:11
