id;page_number;page_sha_256;confidence;s_3_result_key;s_3_bucket;s_3_bounding_box_key;bounding_boxes;metadata;language;word_count;ocr_engine;processing_time;raw_response;raw_response_s_3_key;processed_date;job_id
1;21441;surge over;0.28;publicize;who skyscraper thunderbolt;yuck yowza frightfully;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;moral biod;14439;GOOGLE_VISION;16520;../fake-data/blob/hipster.txt;greedily;2025-12-20T01:30:10;1
2;3095;hmph superb;0.69;psst toward so;fooey windy about;calmly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;mushy yaho;18842;HYBRID;3143;../fake-data/blob/hipster.txt;into clavicle plus;2025-12-20T03:02:32;2
3;25623;worth against;0.13;shipper;or;generally;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;sadly clos;31942;TIKA_TESSERACT;4413;../fake-data/blob/hipster.txt;sans;2025-12-19T17:29:51;3
4;1854;indeed;0.35;burly unique dimly;painfully;oof openly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;bourgeoisi;26350;HYBRID;19844;../fake-data/blob/hipster.txt;amidst;2025-12-20T02:36:08;4
5;22739;upwardly almost siege;0.72;than;wilderness radiant;personalise instead;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;schedule b;31285;AWS_TEXTRACT;32615;../fake-data/blob/hipster.txt;once;2025-12-20T10:17:47;5
6;26078;psst meager;0.52;supposing concerning;joyfully boohoo tooth;usually tidy angrily;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;versus;26901;TIKA_TESSERACT;14903;../fake-data/blob/hipster.txt;internalize questionably internationalize;2025-12-20T09:34:21;6
7;12865;if;0.82;unimportant grubby gah;acidly sheepishly;svelte;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;how amend;28902;ANTHROPIC_CLAUDE;15021;../fake-data/blob/hipster.txt;blue against pine;2025-12-19T19:05:07;7
8;19694;wonderfully;0.35;perfectly;geez sympathetically provision;geez;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;technician;9662;HYBRID;23313;../fake-data/blob/hipster.txt;boohoo so;2025-12-19T22:58:06;8
9;6930;palate and;0.3;official sadly;beyond lest;shakily catalog onto;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;place wher;1336;ANTHROPIC_CLAUDE;13631;../fake-data/blob/hipster.txt;lightly fortunately;2025-12-20T12:09:11;9
10;28103;outsource;0.13;zowie considerate sudden;midst sleepy deceivingly;digestive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;meanwhile ;29955;TIKA_NATIVE;1209;../fake-data/blob/hipster.txt;than;2025-12-19T22:28:42;10
